Sukunimi;Lkm 2023; Lkm 2021;Yleisyysluokka
Limmeri;0;20;0
Limnell;380;382;2
Limo;23;20;1
Limpi;32;31;1
Lin;70;62;1
Lind;1814;1813;3
Lindahl;239;237;2
Lindberg;4019;4036;3
Lindblad;602;605;2
Lindblom;912;927;2
Lindbohm;54;53;1
Lindbom;103;103;2
Lindborg;105;113;2
Lindbäck;107;109;2
Linde;117;114;2
Lindeberg;211;207;2
Lindeblad;27;28;1
Lindedahl;54;56;1
Lindegren;73;72;1
Lindell;1240;1243;3
Lindelä;47;45;1
Lindelöf;118;117;2
Lindeman;1566;1566;3
Linden;511;530;2
Lindén;1442;1438;3
Lindeqvist;44;45;1
Linder;110;109;2
Linderborg;39;39;1
Linderoos;28;26;1
Lindevall;163;164;2
Lindewall;0;22;0
Lindfelt;73;73;1
Lindfors;3003;3059;3
Lindgren;3555;3595;3
Lindgrén;154;151;2
Lindgård;82;83;1
Lindh;576;579;2
Lindholm;6750;6799;3
Lindholm-Ventola;31;33;1
Lindi;38;37;1
Lindkvist;107;107;2
Lindlöf;187;183;2
Lindman;406;411;2
Lindmark;25;25;1
Lindquist;31;33;1
Lindqvist;4336;4396;3
Lindroos;4434;4452;3
Lindros;39;43;1
Lindroth;496;497;2
Lindsberg;56;60;1
Lindstedt;728;733;2
Lindsten;108;112;2
Lindstén;22;21;1
Lindström;5535;5597;3
Lindvall;494;492;2
Lindvik;29;30;1
Lindwall;25;25;1
Lindy;30;31;1
Lineri;37;38;1
Linervo;20;20;1
Lingman;39;39;1
Linho;48;43;1
Linja;105;104;2
Linja-aho;39;39;1
Linjakumpu;23;24;1
Linjala;96;100;1
Linjama;180;174;2
Linjamaa;34;32;1
Linjamäki;119;119;2
Linjos;22;22;1
Linkala;22;23;1
Linke;45;44;1
Linkinen;31;31;1
Linko;148;148;2
Linkola;96;96;1
Linkosuonio;23;24;1
Linman;21;21;1
Linna;2336;2294;3
Linnainmaa;113;112;2
Linnainsaari;30;30;1
Linnajärvi;21;21;1
Linnakangas;62;64;1
Linnakoski;86;88;1
Linnakylä;24;25;1
Linnala;328;323;2
Linnalaakso;27;26;1
Linnaluoto;30;32;1
Linnama;0;20;0
Linnamaa;80;77;1
Linnamurto;28;28;1
Linnamäki;101;102;2
Linnanen;133;136;2
Linnankoski;41;40;1
Linnanmäki;283;267;2
Linnanto;29;31;1
Linnapuomi;42;40;1
Linnaranta;37;36;1
Linnarinne;23;22;1
Linnas;41;40;1
Linnasaari;34;37;1
Linnavirta;78;75;1
Linnavuori;134;129;2
Linne;24;25;1
Linnera;25;23;1
Linnermo;23;24;1
Linnero;22;22;1
Linnilä;46;46;1
Linnimaa;21;21;1
Linninen;36;37;1
Linnoinen;20;0;1
Linnola;30;31;1
Linnolahti;48;48;1
Linnonmaa;36;36;1
Linnovaara;36;36;1
Linnus;31;33;1
Linqvist;36;35;1
Linsén;59;62;1
Lintala;264;265;2
Lintamo;24;24;1
Lintelä;32;31;1
Lintermo;21;20;1
Lintervo;41;43;1
Lintilä;106;110;2
Lintinen;107;114;2
Lintonen;82;86;1
Lintu;196;197;2
Lintuaho;34;32;1
Lintuala;20;20;1
Lintukangas;114;111;2
Lintukorpi;60;57;1
Lintula;1250;1278;3
Lintulaakso;38;37;1
Lintulahti;109;115;2
Lintumaa;29;28;1
Lintumäki;141;129;2
Lintunen;1525;1553;3
Lintuniemi;47;49;1
Lintupuro;34;35;1
Linturi;31;33;1
Lintusaari;52;46;1
Lintusalo;36;34;1
Lintuvuori;38;41;1
Lipasti;269;276;2
Lipiäinen;260;265;2
Lipkin;20;21;1
Lipo;29;33;1
Liponen;74;76;1
Lippo;112;116;2
Lippojoki;63;63;1
Lipponen;2570;2602;3
Lipsanen;699;708;2
Lipsonen;135;137;2
Lirkki;51;53;1
Lisinen;27;28;1
Lisitsin;64;57;1
Liski;451;451;2
Lisko;78;76;1
Liskola;23;23;1
Lisma;36;35;1
Listenmaa;37;36;1
Listokorpi;29;27;1
Litendahl;60;60;1
Lith;48;45;1
Lithen;21;23;1
Lithén;91;90;1
Lithonius;24;25;1
Lithovius;68;68;1
Litja;160;167;2
Litjo;34;32;1
Litmanen;693;710;2
Litokorpi;21;0;1
Litola;24;25;1
Litsilä;25;25;1
Little;25;26;1
Littman;28;27;1
Littow;112;110;2
Littunen;125;128;2
Litukka;49;50;1
Liu;173;168;2
Liuha;127;128;2
Liuhala;36;35;1
Liuhanen;52;53;1
Liuhto;50;52;1
Liukas;75;70;1
Liuke;20;20;1
Liukka;180;181;2
Liukkala;39;39;1
Liukko;623;611;2
Liukkonen;3350;3412;3
Liukko-Sipi;35;33;1
Liukku;187;187;2
Liukkunen;58;60;1
Liuko;44;44;1
Liukonen;62;65;1
Liuksiala;146;147;2
Liulia;25;27;1
Lius;243;244;2
Liuska;355;359;2
Liuski;249;255;2
Liusvaara;65;65;1
Liuttu;39;41;1
Liutu;98;98;1
Livson;25;25;1
Ljetoff;26;25;1
Ljokkoi;25;25;1
Ljung;112;109;2
Ljungars;29;27;1
Ljungberg;130;126;2
Ljunggren;90;91;1
Ljungkvist;45;43;1
Ljungman;56;51;1
Ljungqvist;135;138;2
Lo;28;29;1
Loberg;32;31;1
Lod;56;51;1
Lodenius;29;28;1
Lodman;23;22;1
Loginov;21;20;1
Logje;37;36;1
Logren;96;97;1
Logrén;34;32;1
Lohela;196;200;2
Lohenoja;63;63;1
Lohi;892;882;2
Lohikainen;37;38;1
Lohikko;23;22;1
Lohikoski;233;240;2
Lohilahti;500;502;2
Lohiniva;237;236;2
Lohioja;30;32;1
Lohiranta;39;37;1
Lohisalo;21;21;1
Lohisto;38;37;1
Lohjala;39;39;1
Lohko;54;57;1
Lohman;92;88;1
Lohtaja;81;84;1
Lohtander;253;250;2
Lohtari;34;37;1
Lohva;132;132;2
Lohvansuu;213;210;2
Loijas;201;208;2
Loikala;155;152;2
Loikas;152;158;2
Loikkanen;1111;1116;3
Loimaranta;32;31;1
Loimi;31;31;1
Loimu;29;25;1
Loimula;20;0;1
Loimulahti;53;51;1
Loimuneva;29;29;1
Loimusalo;42;43;1
Loimusto;23;23;1
Loippo;90;91;1
Loipponen;21;20;1
Loiri;54;52;1
Loisa;250;258;2
Loiske;49;49;1
Loitokari;23;24;1
Loiva;46;45;1
Loivarinne;27;29;1
Lojamo;28;27;1
Lojander;72;70;1
Lokasaari;64;64;1
Lokka;260;268;2
Lokki;32;33;1
Lokkila;140;144;2
Lokkinen;49;49;1
Lokko;22;21;1
Lolax;40;42;1
Lomakin;30;29;1
Lomakka;43;42;1
Loman;160;163;2
Lomma;23;23;1
Lommi;223;220;2
Lomperi;62;64;1
Lompola;29;28;1
Lompolo;77;79;1
Lompolojärvi;50;51;1
Lomppi;31;29;1
Lomu;48;50;1
Londen;42;41;1
Londén;30;31;1
London;0;20;0
Long;85;80;1
Longi;30;30;1
Lonka;550;556;2
Lonkainen;74;73;1
Lonkila;45;47;1
Lonnakko;72;74;1
Loo;49;51;1
Lopakka;85;84;1
Lope;29;27;1
Lopez;68;65;1
Lopina;26;25;1
Loponen;943;943;2
Lopperi;158;160;2
Loppi;213;219;2
Loppinen;47;48;1
Loppukaarre;89;90;1
Lorentz;26;26;1
Lorenz;27;26;1
Lorvi;31;30;1
Loskin;58;55;1
Losoi;35;32;1
Lostedt;122;117;2
Lotila;73;75;1
Lotsari;61;60;1
Lotta;69;67;1
Lottanen;71;73;1
Lotti;41;41;1
Lottonen;69;70;1
Lotvonen;306;306;2
Louekari;34;33;1
Louet;36;35;1
Louhe;37;39;1
Louhela;157;163;2
Louhelainen;493;504;2
Louhemäki;21;0;1
Louhesto;25;25;1
Louhevirta;29;29;1
Louhi;226;228;2
Louhikoski;39;39;1
Louhimaa;34;34;1
Louhimies;23;23;1
Louhimo;76;75;1
Louhio;70;73;1
Louhiranta;24;23;1
Louhisalmi;37;32;1
Louhisola;26;27;1
Louhisto;30;28;1
Louhisuo;30;30;1
Louhivaara;125;122;2
Louhivuori;202;199;2
Louhola;21;21;1
Louhos;31;29;1
Louhula;34;36;1
Loukas;31;31;1
Loukasmäki;166;164;2
Loukeinen;25;25;1
Loukia;23;22;1
Loukiainen;139;145;2
Loukiala;35;34;1
Loukimo;22;22;1
Loukkaanhuhta;48;48;1
Loukkalahti;27;29;1
Loukko;90;91;1
Loukkola;227;238;2
Louko;255;260;2
Loukola;192;194;2
Loukonen;153;152;2
Loukusa;257;259;2
Loula;21;22;1
Louna;37;34;1
Lounamaa;30;31;1
Lounas;23;23;1
Lounaskorpi;29;25;1
Lounasranta;28;29;1
Lounasvaara;45;47;1
Lounasvuori;40;41;1
Lounatvuori;33;32;1
Lounavuori;26;25;1
Lounela;54;57;1
Lounila;23;23;1
Louramo;28;28;1
Lousti;20;20;1
Loutti;29;28;1
Love;21;0;1
Loven;66;69;1
Lovén;123;121;2
Lovikka;39;38;1
Lowe;35;28;1
Lu;63;61;1
Lucander;51;53;1
Lucas;39;35;1
Lucenius;74;72;1
Ludén;27;27;1
Ludwig;35;34;1
Luhanka;29;30;1
Luhanko;139;143;2
Luhio;54;52;1
Luhta;132;135;2
Luhtajärvi;32;33;1
Luhtala;723;725;2
Luhtalampi;77;78;1
Luhtamaa;36;36;1
Luhtamäki;43;42;1
Luhtanen;431;437;2
Luhtaniemi;138;139;2
Luhtapuro;24;24;1
Luhtasaari;84;87;1
Luhtasela;113;114;2
Luhtavaara;56;55;1
Luhtio;43;43;1
Luikku;93;94;1
Luimula;22;24;1
Luiro;397;392;2
Luis;21;0;1
Lujala;68;67;1
Lujanen;57;60;1
Lukander;149;150;2
Lukin;193;194;2
Lukinmaa;132;139;2
Lukka;433;435;2
Lukkala;207;206;2
Lukkanen;31;33;1
Lukkari;1096;1098;3
Lukkarila;524;539;2
Lukkarinen;1628;1657;3
Lukkariniemi;32;33;1
Lukkarla;24;24;1
Lukkaroinen;156;153;2
Lukki;23;23;1
Lukkonen;20;21;1
Luksua;33;30;1
Lukumies;53;53;1
Lumberg;30;29;1
Lumela;20;22;1
Lumento;26;26;1
Lumia;31;30;1
Lumiaho;240;235;2
Lumiainen;35;38;1
Lumiala;30;31;1
Lumijärvi;360;347;2
Lumikanta;21;0;1
Lumikari;26;25;1
Lumikko;40;39;1
Lumila;32;30;1
Lumimäki;23;24;1
Lumio;94;96;1
Lumioja;20;20;1
Lumioksa;20;20;1
Lumivirta;33;31;1
Lummaa;35;35;1
Lumme;702;702;2
Lummejoki;22;22;1
Lummemäki;22;23;1
Lummi;82;84;1
Lumminen;0;21;0
Lummukka;0;20;0
Lumpo;44;44;1
Lumppio;59;60;1
Lumpus;68;70;1
Lunabba;47;48;1
Lund;871;880;2
Lundahl;203;206;2
Lundahn;31;34;1
Lundan;46;45;1
Lundán;41;43;1
Lundberg;1185;1194;3
Lundbom;25;25;1
Lundelin;105;107;2
Lundell;660;673;2
Lunden;297;300;2
Lundén;464;461;2
Lundenius;48;49;1
Lundgren;491;486;2
Lundgrén;20;21;1
Lundholm;23;23;1
Lundin;161;164;2
Lundkvist;37;39;1
Lundman;53;52;1
Lundmark;128;128;2
Lundqvist;597;593;2
Lundstedt;35;35;1
Lundsten;114;110;2
Lundström;1040;1051;3
Lundvall;38;37;1
Lunki;106;110;2
Lunkka;214;219;2
Lunnas;44;48;1
Luntamo;43;43;1
Lunti;27;28;1
Luntinen;56;58;1
Luntta;38;38;1
Lunttila;21;21;1
Luo;27;26;1
Luode;96;96;1
Luodelahti;35;34;1
Luodemaa;36;35;1
Luodemäki;26;25;1
Luodes;86;88;1
Luodeslampi;24;24;1
Luodetlahti;22;22;1
Luojola;20;22;1
Luojukoski;43;42;1
Luojus;130;131;2
Luokkakallio;46;49;1
Luokkala;378;371;2
Luokkamäki;54;55;1
Luokkanen;895;881;2
Luokomaa;28;28;1
Luola;24;24;1
Luolakari;23;23;1
Luolamo;25;25;1
Luolavirta;30;30;1
Luoma;3903;3923;3
Luomaa;24;24;1
Luoma-aho;411;414;2
Luomahaara;49;49;1
Luoma-Halkola;22;21;1
Luomajoki;155;156;2
Luomajärvi;49;49;1
Luoma-Keturi;57;59;1
Luomakoski;33;32;1
Luoma-Kyyny;27;25;1
Luomala;865;868;2
Luomalahti;31;28;1
Luomaluhta;31;30;1
Luomanaho;22;20;1
Luomanen;274;273;2
Luomaniemi;49;50;1
Luoma-Nirva;46;47;1
Luomanmäki;56;60;1
Luomanperä;98;99;1
Luomanpää;53;56;1
Luomansivu;25;25;1
Luomansuu;69;72;1
Luomapuro;44;42;1
Luomaranta;135;129;2
Luomi;114;118;2
Luong;72;67;1
Luonsinen;0;20;0
Luonua;56;56;1
Luonuansuu;32;33;1
Luopa;102;100;2
Luopajärvi;97;98;1
Luopakka;29;29;1
Luoranen;94;93;1
Luosa;39;38;1
Luosma;21;23;1
Luostari;150;149;2
Luostarinen;1958;1980;3
Luosto;24;24;1
Luosujärvi;206;208;2
Luotamo;36;36;1
Luoti;98;96;1
Luotinen;32;30;1
Luotio;35;37;1
Luoto;1964;1991;3
Luotoharju;24;26;1
Luotola;191;196;2
Luotolampi;23;23;1
Luotolinna;30;28;1
Luotomäki;46;46;1
Luotonen;688;696;2
Luotoniemi;25;25;1
Luotsinen;36;35;1
Luova;20;20;1
Luovi;31;32;1
Lupala;34;35;1
Lupsakko;28;27;1
Lupunen;38;42;1
Lusa;104;106;2
Lusenius;88;87;1
Lusikka;25;26;1
Lusma;24;23;1
Lusminki;23;23;1
Lustberg;30;32;1
Lustig;386;380;2
Lustila;74;73;1
Lustre;30;28;1
Lusua;60;56;1
Luther;40;42;1
Luttinen;685;684;2
Lutz;41;42;1
Luu;54;50;1
Luukas;147;149;2
Luukela;50;50;1
Luukila;21;22;1
Luukinen;277;284;2
Luukka;323;325;2
Luukkainen;620;621;2
Luukkala;123;120;2
Luukkanen;962;976;2
Luukko;389;395;2
Luukkola;55;55;1
Luukkonen;3641;3701;3
Luume;27;26;1
Luumi;195;194;2
Luuppala;72;69;1
Luuri;157;157;2
Luurila;22;21;1
Luusalo;52;55;1
Luusua;305;300;2
Luusuaniemi;57;59;1
Luutonen;21;21;1
Ly;43;43;1
Lybeck;223;228;2
Lybäck;68;67;1
Lydén;43;43;1
Lydman;137;139;2
Lyhteilä;25;24;1
Lyhtelä;22;21;1
Lyhty;80;83;1
Lyhykäinen;109;108;2
Lyijynen;185;193;2
Lylander;37;37;1
Lyly;367;367;2
Lylykangas;43;42;1
Lylykorpi;48;47;1
Lylyoja;49;48;1
Lyly-Yrjänäinen;35;35;1
Lynch;36;34;1
Lyra;76;81;1
Lysinen;22;23;1
Lystilä;32;34;1
Lystimäki;28;29;1
Lytsy;56;55;1
Lytter;21;22;1
Lyttinen;162;161;2
Lytts;20;21;1
Lytz;57;56;1
Lyyluoma;37;38;1
Lyyra;505;493;2
Lyyrtö;22;22;1
Lyyski;121;115;2
Lyytikkä;106;106;2
Lyytikäinen;1760;1788;3
Lyytinen;1128;1129;3
Lyöri;31;32;1
Lågas;41;43;1
Lågland;73;73;1
Lång;982;982;2
Långbacka;101;103;2
Långfors;46;49;1
Långkvist;46;45;1
Långnabba;40;39;1
Långsjö;78;77;1
Långskog;24;23;1
Långstedt;110;106;2
Långström;713;710;2
Långvik;71;73;1
Lähde;1270;1286;3
Lähdeaho;156;158;2
Lähdekorpi;322;324;2
Lähdemaa;35;38;1
Lähdemäki;344;334;2
Lähdeniemi;177;178;2
Lähdeoja;26;27;1
Lähderanta;23;21;1
Lähderinne;63;61;1
Lähdes;69;71;1
Lähdesluoma;28;26;1
Lähdesmäki;786;778;2
Lähdetie;22;22;1
Lähdetmäki;36;35;1
Lähdetniemi;59;62;1
Lähdevuori;35;34;1
Lähelmä;24;23;1
Läheniemi;21;21;1
Lähetkangas;75;73;1
Lähteelä;95;93;1
Lähteenaro;36;37;1
Lähteenkorva;141;143;2
Lähteenlahti;67;71;1
Lähteenmaa;131;128;2
Lähteenmäki;3205;3252;3
Lähteenoja;122;124;2
Lähteensuo;28;28;1
Lähteinen;254;258;2
Lähtevänoja;117;117;2
Lähti;30;31;1
Lähtinen;72;73;1
Lähtölä;25;25;1
Läksy;30;32;1
Lällä;37;37;1
Lämpsä;115;115;2
Lämsä;1833;1844;3
Länkimäki;23;23;1
Länkinen;147;148;2
Lännenmäki;23;23;1
Lännenpää;28;27;1
Lännistö;35;35;1
Länsiharju;29;29;1
Länsikallio;69;69;1
Länsikylä;23;0;1
Länsiluoto;29;30;1
Länsimaa;27;27;1
Länsimies;34;33;1
Länsimäki;127;127;2
Länsipaltta;22;20;1
Länsipuro;29;29;1
Länsirinne;21;20;1
Länsisaari;29;29;1
Länsisalmi;48;50;1
Länsitalo;33;32;1
Länsivaara;20;20;1
Länsivuori;74;75;1
Länsiö;50;48;1
Länsman;177;174;2
Länsmans;48;48;1
Läntelä;36;39;1
Läntinen;113;119;2
Läpinen;21;22;1
Lärka;80;77;1
Läspä;182;178;2
Lätti;476;486;2
Lättilä;71;78;1
Läykki;50;53;1
Läylönen;34;37;1
Lääkkö;159;153;2
Lääkkölä;87;88;1
Lääperi;350;353;2
Läärä;79;79;1
Lääti;139;136;2
Lääveri;127;132;2
Löf;360;359;2
Löfbacka;71;69;1
Löfberg;221;221;2
Löfdahl;23;23;1
Löfgren;468;468;2
Löfgrén;48;49;1
Löfhjelm;41;41;1
Löfholm;35;38;1
Löflund;172;179;2
Löfman;414;422;2
Löfqvist;125;125;2
Löfroos;22;22;1
Löfroth;41;42;1
Löfs;53;53;1
Löfstedt;36;37;1
Löfström;209;216;2
Löhönen;86;88;1
Löija;45;46;1
Lökfors;52;52;1
Lökström;67;67;1
Löksy;22;21;1
Löllö;40;43;1
Lönegren;32;31;1
Lönn;230;221;2
Lönnberg;521;527;2
Lönnblad;182;184;2
Lönnbohm;0;20;0
Lönnbäck;59;60;1
Lönnfors;180;181;2
Lönngren;141;143;2
Lönnholm;39;40;1
Lönnmark;25;24;1
Lönnquist;0;20;0
Lönnqvist;1367;1385;3
Lönnroos;134;133;2
Lönnrot;101;102;2
Lönnroth;447;450;2
Lönnström;130;128;2
Lönnvik;56;57;1
Löppönen;693;695;2
Lösönen;60;62;1
Löthman;45;47;1
Lötjönen;750;770;2
Löv;59;60;1
Lövdahl;54;53;1
Lövgren;48;50;1
Lövholm;25;26;1
Lövsund;24;26;1
Löytty;170;173;2
Löyttynen;45;45;1
Löyttyniemi;110;112;2
Löytynoja;469;467;2
Löytäinen;49;47;1
Löytänä;27;27;1
Löytökorpi;68;67;1
Löytölä;31;30;1
Löytömäki;72;75;1
Löytönen;117;118;2
Löövi;27;27;1
Ma;78;76;1
Maahi;26;24;1
Maajaakkola;50;53;1
Maajärvi;58;58;1
Maakanen;23;22;1
Maali;20;20;1
Maalismaa;38;38;1
Maanavilja;45;44;1
Maaniemi;60;60;1
Maaniittu;42;39;1
Maaniitty;91;90;1
Maaninen;81;77;1
Maaninka;295;298;2
Maanoja;41;42;1
Maanonen;36;39;1
Maanpää;101;102;2
Maansaari;31;30;1
Maansalo;38;36;1
Maanselkä;105;105;2
Maantila;32;34;1
Maarala;100;100;2
Maaranen;558;567;2
Maaranto;21;22;1
Maarni;20;20;1
Maaronen;27;31;1
Maasalmi;25;26;1
Maasalo;90;83;1
Maasilta;71;71;1
Maaskola;87;87;1
Maasola;30;30;1
Maatala;27;27;1
Maatela;20;20;1
Maatraiva;20;21;1
Maattola;27;27;1
Maavirta;24;24;1
Maavuori;24;25;1
Maczulskij;27;27;1
Madekivi;46;46;1
Madetoja;192;189;2
Madsen;31;29;1
Magga;201;199;2
Magi;27;27;1
Magnusson;219;226;2
Mahamed;307;274;2
Mahamud;198;191;2
Mahamuud;38;32;1
Mahanen;66;64;1
Mahdi;85;80;1
Maher;41;37;1
Mahilainen;25;24;1
Mahkonen;230;232;2
Mahla;40;40;1
Mahlakaarto;115;115;2
Mahlamäki;463;466;2
Mahlanen;81;87;1
Mahlavuori;38;38;1
Mahlberg;82;82;1
Mahlio;34;31;1
Mahmood;99;87;1
Mahmoodi;22;0;1
Mahmoud;59;48;1
Mahmoudi;28;31;1
Mahmud;53;49;1
Mahnala;28;28;1
Maho;37;33;1
Mahonen;76;76;1
Mahosenaho;94;97;1
Mahrberg;48;51;1
Mai;71;62;1
Maidell;58;57;1
Maier;33;35;1
Maijala;1083;1111;3
Maijanen;322;326;2
Maikkola;47;47;1
Maikku;20;20;1
Maikkula;82;86;1
Maikkunen;27;28;1
Maikola;141;144;2
Maila;47;47;1
Mailander;22;22;1
Mailasalo;21;21;1
Maimanen;26;26;1
Maine;36;37;1
Maininki;59;59;1
Mainio;121;126;2
Mainonen;22;21;1
Maisala;85;87;1
Maisila;38;44;1
Maittila;21;20;1
Maja;359;367;2
Majabacka;53;51;1
Majahalme;30;32;1
Majaharju;25;24;1
Majakangas;23;23;1
Majakulma;0;20;0
Majala;178;186;2
Majalahti;148;148;2
Majamaa;203;202;2
Majamäki;350;349;2
Majander;311;306;2
Majanen;317;328;2
Majaneva;83;81;1
Majaniemi;403;396;2
Majanlahti;29;29;1
Majanmaa;71;72;1
Majapuro;59;61;1
Majaranta;76;75;1
Majasaari;58;61;1
Majasalmi;38;39;1
Majasuo;20;21;1
Majava;578;582;2
Majavesi;22;22;1
Majewski;28;26;1
Majlander;40;39;1
Majlund;36;35;1
Majoinen;157;157;2
Majola;20;20;1
Majonen;23;23;1
Majorin;22;23;1
Majors;50;51;1
Majuri;1124;1112;3
Makara;48;47;1
Makaroff;28;27;1
Makarov;25;20;1
Makarova;26;0;1
Maki;29;29;1
Makkonen;5082;5148;3
Makkula;82;85;1
Maksimainen;342;336;2
Makslahti;35;37;1
Maksniemi;30;33;1
Mala;22;0;1
Malander;20;20;1
Malanin;31;32;1
Malaska;109;107;2
Malassu;85;82;1
Malén;154;154;2
Malho;26;28;1
Malhonen;30;30;1
Mali;118;115;2
Malik;74;73;1
Malila;423;417;2
Malin;886;905;2
Malinen;4524;4549;3
Maliniemi;214;209;2
Maliranta;21;21;1
Malja;104;107;2
Maljanen;159;156;2
Maljonen;20;20;1
Malk;72;72;1
Malka;86;85;1
Malkakorpi;42;42;1
Malkamo;20;21;1
Malkamäki;519;518;2
Malkavaara;87;84;1
Malkavuori;20;0;1
Malkki;585;580;2
Malkola;20;0;1
Mallander;20;20;1
Mallasto;21;0;1
Mallat;192;197;2
Mallenius;90;88;1
Malleus;25;24;1
Malm;1010;1019;3
Malmari;21;21;1
Malmberg;1251;1271;3
Malmborg;24;24;1
Malmbäck;20;0;1
Malmelin;95;98;1
Malmén;23;22;1
Malmgren;106;106;2
Malmi;818;829;2
Malmiaho;25;25;1
Malmiharju;24;24;1
Malmihuhta;30;30;1
Malmikare;21;21;1
Malmikoski;21;22;1
Malmikumpu;24;24;1
Malmila;63;64;1
Malminen;187;185;2
Malmio;25;26;1
Malmioja;22;21;1
Malmisalo;20;0;1
Malmivaara;302;297;2
Malmivirta;49;46;1
Malmivuori;92;90;1
Malmlund;105;105;2
Malmqvist;32;34;1
Malms;26;25;1
Malmstedt;106;106;2
Malmsten;270;275;2
Malmstén;22;22;1
Malmström;711;714;2
Malo;245;245;2
Maloku;34;28;1
Malste;27;26;1
Maltio;21;22;1
Maltolahti;31;31;1
Malvalehto;28;27;1
Malvela;66;65;1
Malvikko;23;23;1
Malviniemi;26;26;1
Malvisalo;36;35;1
Malvisto;25;25;1
Mamia;175;172;2
Mandelin;169;165;2
Mandell;62;63;1
Manderbacka;80;80;1
Mandunga;22;0;1
Manelius;302;299;2
Manerus;68;69;1
Mangs;88;88;1
Mangström;32;31;1
Mankila;38;41;1
Mankinen;657;654;2
Mankisenmaa;27;27;1
Mankki;278;279;2
Mankkinen;31;30;1
Mankonen;97;98;1
Mann;63;63;1
Mannari;30;28;1
Mannberg;23;24;1
Manne;28;28;1
Mannela;80;84;1
Mannelin;195;198;2
Manner;1328;1322;3
Mannerheimo;42;43;1
Mannerhovi;20;21;1
Mannerjoki;23;22;1
Mannerjärvi;24;24;1
Mannerkivi;32;30;1
Mannerkorpi;35;38;1
Mannerkoski;70;71;1
Mannermaa;475;482;2
Manneroos;20;21;1
Manner-Raappana;22;21;1
Mannerström;39;39;1
Mannersuo;57;60;1
Mannfolk;76;77;1
Manngård;30;32;1
Manni;333;333;2
Mannier;28;26;1
Mannikainen;30;33;1
Mannil;66;70;1
Mannila;1240;1260;3
Manninen;9535;9636;3
Mannio;80;82;1
Mannisenmäki;41;40;1
Mannismäki;36;36;1
Mannisto;22;22;1
Mannoja;60;61;1
Mannola;25;25;1
Mannonen;644;660;2
Manns;58;59;1
Mannström;211;215;2
Mannukka;23;20;1
Mansala;35;35;1
Manselius;27;26;1
Mansén;67;68;1
Mansikka;584;583;2
Mansikka-aho;147;147;2
Mansikkaharju;20;0;1
Mansikkala;89;92;1
Mansikkamaa;29;29;1
Mansikkamäki;631;638;2
Mansikkaniemi;107;106;2
Mansikkasalo;69;67;1
Mansikkaviita;159;159;2
Mansner;197;198;2
Mansnerus;97;95;1
Mansoniemi;29;29;1
Mansour;49;46;1
Manssila;56;58;1
Mansukoski;85;85;1
Mantela;115;116;2
Mantere;891;899;2
Mantila;706;705;2
Mantonen;27;27;1
Mantovaara;67;67;1
Mantsinen;195;192;2
Manu;127;125;2
Manula;42;44;1
Manunen;38;35;1
Mara;123;128;2
Marander;28;31;1
Mariapori;24;22;1
Marikainen;25;26;1
Marila;254;250;2
Marin;750;722;2
Marins;47;47;1
Maris;45;44;1
Maristo;39;36;1
Marja-aho;70;64;1
Marjakaarto;66;66;1
Marjakangas;413;414;2
Marjakoski;101;100;2
Marjala;258;258;2
Marjamaa;465;466;2
Marjamäki;1144;1170;3
Marjanen;619;609;2
Marjaniemi;86;84;1
Marjasalo;28;30;1
Marjasto;60;58;1
Marjatsalo;45;43;1
Marjava;47;46;1
Marjelund;0;20;0
Marjeta;300;304;2
Marjetta;21;21;1
Marjo;66;69;1
Marjokorpi;50;50;1
Marjola;35;36;1
Marjomaa;283;290;2
Marjomäki;115;111;2
Marjoniemi;225;230;2
Marjoranta;23;23;1
Marjunen;63;64;1
Marjusaari;53;54;1
Mark;79;80;1
Markela;28;29;1
Markelin;75;78;1
Markio;20;22;1
Markkala;22;21;1
Markkanen;3268;3287;3
Markke;26;26;1
Markki;43;45;1
Markkila;69;70;1
Markkinen;162;166;2
Markko;67;67;1
Markkola;242;249;2
Markku;62;67;1
Markkula;1003;1030;3
Marklund;39;42;1
Marko;21;0;1
Markoff;105;100;2
Markola;26;26;1
Markov;26;28;1
Markova;28;24;1
Markovaara;45;45;1
Marku;69;69;1
Markuksela;86;90;1
Markula;197;201;2
Markunmäki;21;22;1
Markus;314;317;2
Marmo;20;0;1
Marno;20;21;1
Marola;25;24;1
Maronen;94;92;1
Mars;32;31;1
Marsch;65;66;1
Marsh;29;27;1
Marshall;59;56;1
Marski;35;36;1
Marstio;25;26;1
Martela;32;31;1
Martelin;116;119;2
Martelius;120;125;2
Martens;60;61;1
Martenson;21;21;1
Martikainen;5450;5538;3
Martikka;82;90;1
Martikkala;235;241;2
Martimo;225;232;2
Martin;1123;1123;3
Martineero;0;20;0
Martinez;118;109;2
Martinkauppi;117;118;2
Martinmäki;281;277;2
Martinoff;27;27;1
Martinpelto;21;21;1
Martins;42;41;1
Martinsen;29;27;1
Martinsén;30;30;1
Martinsson;35;34;1
Martinsuo;21;21;1
Martinviita;32;33;1
Martio;25;25;1
Martiskainen;649;664;2
Martiskin;42;45;1
Martola;84;88;1
Martomaa;30;31;1
Martonen;91;96;1
Marttala;315;321;2
Martti;247;254;2
Marttiin;48;50;1
Marttiini;41;42;1
Marttila;3658;3697;3
Marttila-Tornio;39;41;1
Marttinen;2159;2185;3
Marttonen;21;20;1
