Sukunimi;Lkm 2023; Lkm 2021;Yleisyysluokka
Alakoskela;66;66;1
Alakoski;404;408;2
Alakotila;158;158;2
Ala-Kotila;24;23;1
Ala-Krekola;74;72;1
Alakruuvi;23;24;1
Alakuijala;38;38;1
Alakulju;37;37;1
Ala-Kulju;33;35;1
Alakulppi;44;42;1
Alakunnas;43;45;1
Ala-Kurikka;38;38;1
Alakurtti;97;98;1
Ala-Kuusisto;0;21;0
Alakylmänen;38;40;1
Alakylä;37;39;1
Ala-Kyyny;22;21;1
Alakärppä;371;362;2
Ala-Könni;36;37;1
Alakörkkö;29;32;1
Alalahti;69;67;1
Ala-Lahti;73;72;1
Alalantela;59;57;1
Alalauri;53;54;1
Ala-Laurinaho;22;24;1
Ala-Leppilampi;20;20;1
Ala-Lipasti;48;50;1
Ala-Louko;29;29;1
Alaloukusa;31;30;1
Ala-Louvesniemi;30;30;1
Ala-Luhtala;31;28;1
Ala-Luoma;21;0;1
Ala-Luopa;0;20;0
Alaluukas;22;24;1
Alaluusua;386;386;2
Alalääkkölä;45;45;1
Alam;95;89;1
Alamaa;43;44;1
Ala-Mantila;29;28;1
al-Amarah;20;21;1
Alamartimo;77;77;1
Alamartin;50;51;1
Ala-Marttila;43;48;1
Alamattila;79;75;1
Ala-Mattinen;62;63;1
Alamaunu;46;49;1
Alamehtä;24;24;1
Alametsä;25;24;1
Alamettälä;41;40;1
Alamikkelä;86;88;1
Ala-Mononen;35;35;1
Ala-Mutka;66;66;1
Alamäki;371;370;2
Ala-Mäyry;21;23;1
Alanampa;35;36;1
Alander;522;520;2
Alanen;2227;2251;3
Alanenpää;44;44;1
Al-Ani;41;29;1
Alaniemi;109;109;2
Ala-Nikkola;145;141;2
Ala-Nikula;39;40;1
Alaniska;22;21;1
Alanissi;44;43;1
Ala-Nissilä;85;80;1
Ala-Nisula;43;44;1
Alaniva;36;34;1
Alanko;2306;2285;3
Alankoja;30;30;1
Alanne;527;540;2
Alanoja;27;29;1
Alanurmi;22;0;1
Alanärä;62;61;1
Alaoja;100;98;2
Ala-Olla;21;22;1
Ala-Opas;42;45;1
Alaoutinen;63;66;1
Ala-Outinen;78;78;1
Ala-Paavola;25;25;1
Alapaholuoma;24;26;1
Ala-Pantti;32;33;1
Ala-Panula;21;21;1
Alapappila;22;21;1
Ala-Pappila;40;43;1
Alapartanen;57;54;1
Ala-Peijari;28;27;1
