Etunimi;Lkm 2023;Lkm 2021;Yleisyysluokka
Rosa-Linda;14;14;1
Rosaline;10;7;1
Rosalita;7;7;0
Rosalyn;13;13;1
Rosa-Maaria;16;16;1
Rosamari;11;11;1
Rosa-Mari;17;17;1
Rosamaria;39;39;1
Rosa-Maria;339;339;2
Rosamarie;8;8;0
Rosa-Marie;37;37;1
Rosa-Mariia;5;5;0
Rosamunda;5;5;0
Rosana;14;14;1
Rosanda;9;7;0
Rosanna;703;667;2
Rosanne;52;49;1
Rosaria;7;6;0
Rosariina;5;5;0
Rosario;24;23;1
Rosa-Sofia;9;9;0
Ros-Britt;6;6;0
Rose;771;707;2
Rose-Britt;5;5;0
Roselia;15;11;1
Roselin;5;5;0
Roseline;7;7;0
Rosella;20;18;1
Roselyn;10;9;1
Rose-Maj;94;101;1
Rosemari;8;8;0
Rose-Mari;22;21;1
Rosemaria;6;6;0
Rose-Maria;13;12;1
Rosemarie;56;55;1
Rose-Marie;276;279;2
Rosemary;48;43;1
Rose-Mary;6;7;0
Rose-May;28;28;1
Rosetta;20;19;1
Rosette;16;16;1
Roshild;6;6;0
Roshni;6;6;0
Rosi;41;39;1
Rosida;8;8;0
Rosie;33;26;1
Rosiina;15;15;1
Rosina;109;107;2
Rosinda;7;7;0
Rosine;9;10;0
Rosita;664;663;2
Rositta;7;7;0
Ros-Maj;21;22;1
Rosmari;22;22;1
Ros-Mari;117;118;2
Rosmarie;20;20;1
Ros-Marie;63;65;1
Rosmariini;28;26;1
Rosmarin;5;5;0
Ros-May;6;6;0
Rosveig;7;7;0
Roswitha;14;13;1
Routa;9;6;0
Rowan;8;6;0
Rowena;12;11;1
Roxana;33;33;1
Roxane;8;6;0
Roxanna;12;11;1
Roxanne;29;25;1
Roya;32;28;1
Roz;5;0;0
Roza;73;70;1
Róza;7;6;0
Rozalia;10;10;1
Rozan;10;6;1
Rozanna;5;5;0
Rozerin;11;10;1
Ru;11;9;1
Rubi;6;6;0
Rubina;12;11;1
Ruby;77;69;1
Rue;6;5;0
Rufina;14;14;1
Rui;5;5;0
Ruija;7;6;0
Ruken;13;11;1
Rukia;9;8;0
Rumejsa;6;6;0
Run;5;5;0
Runa;123;129;2
Runa-Lisa;16;17;1
Runborg;7;7;0
Runo;53;40;1
Ruqaya;7;6;0
Ruqayah;6;0;0
Ruqia;6;7;0
Ruqiya;10;8;1
Ruska;192;167;2
Ruslana;10;8;1
Rusul;12;7;1
Rut;314;341;2
Ruta;11;9;1
Ruth;959;947;2
Ruu;73;41;1
Ruun;7;7;0
Ruusa;412;383;2
Ruusu;536;524;2
Ruusu-Maaria;5;5;0
Ruusumaria;7;7;0
Ruusu-Maria;19;19;1
Ruusu-Marja;6;6;0
Ruusunkukka;8;7;0
Ruusunnuppu;16;15;1
Ruut;970;949;2
Ruuth;31;34;1
Ruuti;11;7;1
Ruut-Maria;6;5;0
Ruwaida;5;0;0
Ruwayda;10;6;1
Ruweida;7;6;0
Ruweyda;22;18;1
Ruxandra;5;5;0
Rüya;5;0;0
S;11;9;1
S.;10;10;1
Sa;5;0;0
Saabiriin;16;14;1
Saabirin;5;5;0
Saabriin;5;5;0
Saad;44;36;1
Saadia;14;13;1
Saado;5;0;0
Saadoon;5;0;0
Saafi;6;5;0
Saaga;1622;1449;3
Saaga-Maria;5;5;0
Saaga-Sofia;5;0;0
Saaka;6;6;0
Saamia;5;5;0
Saamiya;7;6;0
Saana;4807;4671;3
Saana-Emilia;5;5;0
Saana-Maaret;5;0;0
Saana-Maaria;9;9;0
Saana-Maarit;8;9;0
Saana-Mari;9;9;0
Saanamaria;6;7;0
Saana-Maria;52;52;1
Saana-Riikka;5;5;0
Saana-Sofia;10;10;1
Saana-Tuulia;13;13;1
Saania;15;15;1
Saanvi;6;0;0
Saara;12579;12833;4
Saara-Elina;12;12;1
Saara-Emilia;9;9;0
Saarah;14;13;1
Saara-Helena;5;5;0
Saarai;10;11;1
Saarakaisa;6;6;0
Saara-Kaisa;39;39;1
Saara-Leena;26;26;1
Saara-Liina;6;6;0
Saara-Liisa;31;33;1
Saara-Lotta;15;15;1
Saaramaija;5;5;0
Saara-Maija;45;45;1
Saara-Mari;16;16;1
Saaramaria;16;16;1
Saara-Maria;143;145;2
Saara-Marja;8;8;0
Saara-Sofia;38;37;1
Saara-Susanna;5;5;0
Saari;6;6;0
Saarinen;5;5;0
Saarinka;6;5;0
Saarlotta;5;5;0
Saarni;13;9;1
Saba;42;36;1
Sabah;44;38;1
Sabeeh;5;5;0
Sabella;5;5;0
Saber;5;0;0
Sabiha;20;19;1
Sabiina;18;17;1
Sabina;1044;1028;3
Sabine;192;189;2
Sabir;8;7;0
Sabira;12;12;1
Sabiriin;12;11;1
Sabirin;15;14;1
Sabri;7;6;0
Sabriin;12;10;1
Sabriina;34;34;1
Sabrije;7;7;0
Sabrin;40;38;1
Sabrina;393;374;2
Sabrine;10;10;1
Sacdiyo;10;9;1
Sacha;7;7;0
Sada;7;6;0
Sadaf;31;25;1
Sadat;15;14;1
Sade;558;512;2
Sadehelmi;14;14;1
Sade-Helmi;8;8;0
Sadek;5;5;0
Sadelma;9;9;0
Sadeq;6;0;0
Sadetta;42;41;1
Sadette;6;6;0
Sadia;61;57;1
Sadie;23;23;1
Sadija;5;5;0
Sadije;8;8;0
Sadio;17;17;1
Sadiq;11;10;1
Sadiya;10;10;1
Sadiye;5;5;0
Sadiyo;12;11;1
Sadoon;5;5;0
Sadredin;5;0;0
Saduntytär;5;5;0
Saeed;25;23;1
Safa;88;71;1
Safaa;20;17;1
Saffie;5;5;0
Saffron;12;12;1
Safi;18;17;1
Safia;169;159;2
Safiina;16;15;1
Safiira;44;41;1
Safija;8;8;0
Safina;57;48;1
Safir;5;5;0
Safira;155;140;2
Safiya;79;69;1
Safiye;16;15;1
Safiyo;20;19;1
Saga;3394;3174;3
Sagal;50;46;1
Saga-Maria;18;17;1
Saga-Sofia;21;19;1
Sage;7;5;0
Saha;7;5;0
Sahal;13;12;1
Sahar;76;64;1
Sahara;15;15;1
Sahira;5;5;0
Sahra;132;124;2
Sahrami;12;10;1
Sahro;24;22;1
Sai;5;6;0
Saia;10;10;1
Said;113;103;2
Saida;186;184;2
Saidi;10;11;1
Said-Kader;5;5;0
Saido;20;17;1
Saif;10;9;1
Saiga;11;11;1
Saiid;7;7;0
Saija;3958;3973;3
Saija-Leena;37;37;1
Saija-Liisa;17;18;1
Saija-Maarit;7;7;0
Saijamari;7;7;0
Saija-Mari;8;9;0
Saija-Maria;18;18;1
Saija-Riikka;15;15;1
Saijariina;5;5;0
Saija-Riina;7;7;0
Saija-Riitta;11;11;1
Saija-Sisko;6;6;0
Saika;8;8;0
Saila;2239;2253;3
Saila-Maarit;5;5;0
Saila-Mari;5;5;0
Saila-Maria;11;11;1
Saila-Riitta;0;5;0
Saili;28;29;1
Saima;1611;1551;3
Saimaa;6;5;0
Saime;9;8;0
Saimi;3234;3127;3
Saina;27;27;1
Sainab;8;8;0
Sainabou;7;7;0
Saine;5;5;0
Saini;616;665;2
Saira;12;11;1
Sairi;8;8;0
Saisunee;5;0;0
Saja;10;10;1
Sajida;6;6;0
Sakari;11;0;1
Sakariina;9;9;0
Sakarintytär;10;10;1
Sakariye;6;5;0
Sakina;31;28;1
Sakineh;10;9;1
Saku;7;5;0
Sakuntytär;10;9;1
Sakura;32;29;1
Salaad;16;13;1
Salaado;5;5;0
Salad;32;32;1
Salah;43;29;1
Salam;18;14;1
Salama;30;31;1
Saleban;14;12;1
Saleeban;5;0;0
Saleh;28;17;1
Salem;13;9;1
Salha;5;0;0
Sali;6;0;0
Salih;19;18;1
Saliha;10;10;1
Salim;11;9;1
Salima;25;24;1
Salina;29;28;1
Salka;36;37;1
Salla;5947;5926;3
Salla-Kaisa;18;18;1
Salla-Maaret;16;16;1
Sallamaari;112;113;2
Salla-Maari;21;21;1
Sallamaaria;14;14;1
Salla-Maaria;96;96;1
Sallamaarit;10;10;1
Salla-Maarit;74;74;1
Salla-Maija;26;27;1
Sallamari;208;210;2
Salla-Mari;292;296;2
Sallamaria;30;31;1
Salla-Maria;151;152;2
Salla-Marja;13;13;1
Salla-Reetta;8;8;0
Salla-Riikka;13;13;1
Sallariina;10;10;1
Salla-Riina;9;9;0
Salla-Sisko;5;5;0
Salla-Sofia;17;18;1
Salla-Tuulia;14;14;1
Salli;1751;1823;3
Sallima;12;14;1
Salli-Sofia;5;5;0
Sally;239;235;2
Salma;328;307;2
Salman;32;27;1
Salme;4240;4616;3
Salmi;6;5;0
Salmo;8;7;0
Salome;262;265;2
Salomé;5;5;0
Salsabil;5;5;0
Salvia;29;19;1
Salwa;27;22;1
Sam;21;12;1
Sama;13;10;1
Samah;12;12;1
Saman;9;9;0
Samanta;12;11;1
Samantha;171;168;2
Samar;22;19;1
Samara;12;11;1
Samatha;9;9;0
Sameer;11;8;1
Samer;13;5;1
Sami;16;9;1
Samia;47;43;1
Samiira;34;33;1
Samiiro;7;5;0
Samina;14;15;1
Samintytär;40;39;1
Samir;14;13;1
Samira;446;429;2
Samirah;5;0;0
Samire;5;5;0
Samiro;8;9;0
Samiya;11;10;1
Sammal;11;6;1
Sampontytär;6;6;0
Samra;16;15;1
Samreen;5;0;0
Samruai;5;5;0
Samsam;36;36;1
Samu;10;0;1
Samuel;22;17;1
Samuela;15;15;1
Samulintytär;7;7;0
Samuntytär;14;13;1
San;20;19;1
Sana;56;48;1
Sanaa;27;22;1
Sanae;8;6;0
Sanam;9;8;0
Sanaz;15;14;1
Sanda;8;7;0
Sandhya;0;5;0
Sandi;16;15;1
Sandra;2665;2600;3
Sandra-Maria;11;10;1
Sandra-Sofia;16;15;1
Sandrine;15;13;1
Sandy;37;35;1
Sane;17;16;1
Sanela;18;18;1
Sanella;9;9;0
Sanelma;2626;2856;3
Sanerva;7;8;0
Sanette;10;9;1
Sang;9;8;0
Sani;500;493;2
Sania;44;40;1
Sanie;6;6;0
Sanije;9;9;0
Sanika;6;6;0
Sanita;16;13;1
Saniya;5;5;0
Sanja;335;328;2
Sanna;22407;22482;4
Sanna-Elina;10;10;1
Sanna-Emilia;5;5;0
Sannah;5;5;0
Sanna-Helena;10;10;1
Sanna-Kaarina;6;6;0
Sanna-Kaija;10;10;1
Sannakaisa;47;47;1
Sanna-Kaisa;483;487;2
Sanna-Karoliina;6;6;0
Sanna-Katri;6;6;0
Sanna-Katriina;7;7;0
Sanna-Leea;5;5;0
Sannaleena;28;28;1
Sanna-Leena;205;205;2
Sannaliina;9;9;0
Sannaliisa;14;14;1
Sanna-Liisa;155;161;2
Sanna-Lotta;8;8;0
Sanna-Maaret;6;6;0
Sannamaaria;6;6;0
Sanna-Maaria;47;47;1
Sanna-Maarit;90;90;1
Sannamaija;32;33;1
Sanna-Maija;231;232;2
Sannamari;239;239;2
Sanna-Mari;984;989;2
Sannamaria;30;30;1
Sanna-Maria;474;477;2
Sanna-Marie;5;5;0
Sanna-Marika;31;31;1
Sanna-Marja;34;34;1
Sanna-Pauliina;12;12;1
Sanna-Reetta;12;12;1
Sannariikka;7;7;0
Sanna-Riikka;68;69;1
Sanna-Riina;14;14;1
Sanna-Riitta;31;31;1
Sanna-Sisko;9;9;0
Sanna-Sofia;16;15;1
Sanna-Susanna;6;6;0
Sanna-Tiina;6;6;0
Sanna-Tuulia;13;13;1
Sanne;70;69;1
Sanneli;10;9;1
Sanni;8226;8267;3
Sanniina;65;64;1
Sannika;14;14;1
Sanni-Kaisa;17;16;1
Sanni-Lotta;6;6;0
Sanni-Maaria;6;6;0
Sannimaija;6;6;0
Sanni-Maija;14;14;1
Sannimari;18;18;1
Sanni-Mari;49;51;1
Sannimaria;10;10;1
Sanni-Maria;51;52;1
Sanni-Marja;7;7;0
Sannina;8;8;0
Sanni-Sofia;41;40;1
Sannu;17;19;1
Sannukka;30;30;1
Sanny;20;19;1
Sanra;12;12;1
Sansa;32;27;1
Santa;8;7;0
Santana;5;5;0
Santeri;14;9;1
Santeriina;5;5;0
Santerintytär;5;5;0
Santos;5;5;0
Santra;204;204;2
Santtu;15;8;1
Sanu;5;0;0
Sanvi;5;0;0
Sanya;13;13;1
Saoirse;10;8;1
Sapana;5;0;0
Saphira;6;6;0
Sapphire;6;6;0
Sara;14924;14757;4
Sára;14;13;1
Sara-Anna;5;5;0
Sara-Annika;7;7;0
Sarabella;5;5;0
Sara-Elina;5;5;0
Saraella;10;8;1
Sara-Ella;8;8;0
Sara-Ellen;5;5;0
Sara-Emilia;19;19;1
Sarafiina;15;15;1
Sarafina;19;18;1
Sarah;1163;1116;3
Sarai;39;39;1
Sara-Julia;15;15;1
Sara-Juulia;9;9;0
Sara-Leena;8;8;0
Saralia;17;15;1
Saraliina;12;12;1
Sara-Liina;5;5;0
Saralotta;10;10;1
Sara-Lotta;15;15;1
Sara-Maaria;11;11;1
Saramaria;12;12;1
Sara-Maria;96;97;1
Sara-Marie;12;12;1
Saranda;43;41;1
Sarang;5;0;0
Saranna;28;28;1
Saranya;8;8;0
Sara-Sofia;166;166;2
Sara-Sofie;9;9;0
Saraste;14;14;1
Sara-Susanna;6;8;0
Sara-Susanne;5;5;0
Saraswati;6;6;0
Sara-Tuuli;12;12;1
Sara-Tuulia;18;18;1
Sare;9;8;0
Saretta;8;8;0
Sargit;39;41;1
Sari;29161;29300;4
Saria;30;30;1
Sarian;8;8;0
Sari-Ann;5;5;0
Sarianna;618;615;2
Sari-Anna;53;54;1
Sarianne;378;378;2
Sari-Anne;108;108;2
Sari-Anneli;22;22;1
Sari-Annika;5;5;0
Sariel;5;5;0
Sari-Elina;7;7;0
Sariella;9;9;0
Sari-Hannele;13;13;1
Sari-Helena;19;19;1
Sariina;30;30;1
Sari-Johanna;20;20;1
Sarika;77;77;1
Sari-Kaarina;5;5;0
Sari-Leena;15;16;1
Sari-Liisa;13;13;1
Sari-Maaria;8;8;0
Sari-Maarit;40;40;1
Sari-Maija;13;13;1
Sari-Maria;15;15;1
Sari-Marjut;9;10;0
Sari-Minna;10;10;1
Sarina;135;127;2
Sari-Päivi;6;6;0
Sari-Sisko;11;11;1
Sari-Susanna;31;31;1
Sarit;5;5;0
Sarita;1106;1108;3
Sari-Tiina;7;7;0
Saritta;24;24;1
Sarjanna;5;5;0
Sarjo;0;5;0
Sarla;10;10;1
Sarleena;13;12;1
Sarlotta;180;179;2
Sarolta;5;5;0
Saron;8;7;0
Sarpa;5;5;0
Sarra;15;14;1
Sarri;62;62;1
Saru;8;8;0
Sasa;24;24;1
Sasha;44;40;1
Sasithorn;5;0;0
Saskia;206;201;2
Sassa;9;10;0
Sasu;6;0;0
Sattar;8;7;0
Satu;24895;25004;4
Satu-Anna;9;10;0
Satu-Anne;8;8;0
Satu-Anneli;7;7;0
Satu-Annika;8;8;0
Satu-Elina;14;14;1
Satu-Emilia;5;5;0
Satu-Hannele;16;16;1
Satu-Helena;20;21;1
Satu-Johanna;26;27;1
Satu-Kaarina;17;17;1
Satu-Katriina;5;5;0
Satu-Kristiina;12;12;1
Satu-Leena;10;10;1
Satu-Liisa;19;19;1
Satu-Lotta;18;18;1
Satu-Maaret;13;13;1
Satumaaria;5;5;0
Satu-Maaria;77;77;1
Satumaarit;5;5;0
Satu-Maarit;208;210;2
Satumaija;8;8;0
Satu-Maija;17;19;1
Satumari;6;6;0
Satu-Mari;19;19;1
Satumaria;17;17;1
Satu-Maria;127;127;2
Satu-Marika;11;11;1
Satumarja;12;12;1
Satu-Marja;80;80;1
Satu-Marjaana;11;12;1
Satu-Marjatta;6;6;0
Satu-Marjut;10;10;1
Satu-Minna;8;8;0
Satu-Orvokki;7;7;0
Satu-Pauliina;8;8;0
Satu-Pia;5;5;0
Satu-Päivi;19;19;1
Satu-Päivikki;21;21;1
Satu-Riikka;6;6;0
Satu-Riitta;9;9;0
Satu-Sinikka;60;60;1
Satu-Sirkku;7;7;0
Satu-Sisko;40;41;1
Satu-Sofia;7;7;0
Satu-Susanna;25;25;1
Satu-Tiina;6;6;0
Satu-Tuulia;11;11;1
Sau;9;8;0
Saulintytär;7;7;0
Savanna;102;91;2
Savannah;115;107;2
Savu;7;0;0
Sawda;8;7;0
Sawsan;14;13;1
Say;16;16;1
Saya;11;10;1
Saynab;20;20;1
Sayuri;5;0;0
Sazan;5;5;0
Scarlet;10;10;1
Scarlett;81;72;1
Scilla;5;5;0
Sea;31;22;1
Sebahat;7;6;0
Sebahate;5;5;0
Sebastian;27;12;1
Sebastião;5;5;0
Secilia;20;20;1
Seda;17;16;1
Sedra;8;5;0
Seea;52;39;1
Seela;2289;1905;3
Seeli;13;13;1
Seelia;234;205;2
Seema;10;8;1
Seena;45;44;1
Seeni;6;5;0
Seenia;5;5;0
Seera;23;22;1
Seere;12;12;1
Seeri;6;6;0
Seevi;5;0;0
Sefanja;6;6;0
Seham;6;0;0
Seher;6;6;0
Seida;10;10;1
Seidi;282;282;2
Seija;22479;23322;4
Seija-Anneli;5;5;0
Seija-Leena;34;34;1
Seijaliisa;6;6;0
Seija-Liisa;122;128;2
Seija-Maija;6;7;0
Seija-Maria;5;5;0
Seija-Riitta;59;61;1
Seija-Sinikka;9;10;0
Seija-Sisko;30;31;1
Seila;32;30;1
Seile;7;6;0
Seinab;13;13;1
Seira;6;7;0
Seiri;5;0;0
Seita;51;50;1
Sejla;5;5;0
Sela;12;11;1
Selah;5;5;0
Selam;6;5;0
Selamawit;10;9;1
Selda;38;34;1
Selen;15;14;1
Selena;355;323;2
Selene;159;148;2
Selenia;12;11;1
Seleste;9;8;0
Seli;5;5;0
Selia;38;33;1
Seliina;206;205;2
Selima;6;6;0
Selin;33;26;1
Selina;1843;1705;3
Selinda;107;106;2
Seline;14;14;1
Selinä;5;5;0
Selja;789;698;2
Sella;112;108;2
Selli;5;6;0
Selma;2759;2525;3
Selmi;17;15;1
Selmiina;6;6;0
Selvete;10;9;1
Selvi;8;8;0
Sema;15;12;1
Semina;6;6;0
Semira;9;9;0
Semra;15;15;1
Sen;8;7;0
Sena;24;23;1
Senada;5;5;0
Senait;8;7;0
Sengül;6;6;0
Seni;13;13;1
Senia;44;43;1
Senita;15;15;1
Senja;3304;3290;3
Senja-Maria;10;9;1
Senja-Sofia;6;6;0
Senna;156;139;2
Senni;2441;2363;3
Senni-Sofia;13;13;1
Sennu;11;11;1
Senny;30;31;1
Senobia;15;15;1
Senta;7;9;0
Sephora;5;0;0
Sepideh;12;9;1
Sepontytär;22;22;1
Sera;139;129;2
Serafia;745;720;2
Serafiia;97;95;1
Serafiina;1153;1105;3
Serafima;49;47;1
Serafin;8;8;0
Serafina;574;536;2
Serah;6;6;0
Seraina;7;7;0
Seralia;9;9;0
Serap;6;5;0
Seraphina;19;17;1
Seraphine;6;0;0
Sere;10;10;1
Serefiina;10;10;1
Serefina;8;7;0
Seren;16;15;1
Serena;215;203;2
Serene;12;10;1
Serenella;15;15;1
Sergeevna;24;25;1
Sergejevna;13;13;1
Seri;19;16;1
Seriina;7;7;0
Serin;7;7;0
Serina;74;73;1
Serine;9;9;0
Serita;14;14;1
Serja;22;22;1
Serwaa;8;6;0
Sesilia;188;176;2
Sesilja;14;12;1
Sessa;14;13;1
Sesse;7;7;0
Sessi;10;10;1
Setareh;16;14;1
Setayesh;12;9;1
Sevanja;8;8;0
Sevasti;6;6;0
Sevda;20;18;1
Sevdije;7;7;0
Seveliina;6;6;0
Seven;5;0;0
Severiina;237;237;2
Severina;15;14;1
Sevgi;20;20;1
Sevi;5;5;0
Sevil;9;8;0
Sevilla;9;9;0
Sevim;15;12;1
Sevin;7;7;0
Seya;7;7;0
Seyedeh;15;14;1
Seynab;32;30;1
Sh.;8;6;0
Shabana;6;6;0
Shabnam;22;21;1
Shabo;6;6;0
Shadan;7;7;0
Shade;5;5;0
Shadi;16;12;1
Shadiya;5;5;0
Shae;5;5;0
Shafia;6;5;0
Shafici;5;5;0
Shahad;24;20;1
Shahd;8;5;0
Shahed;6;0;0
Shaheen;6;5;0
Shahid;7;5;0
Shahin;13;12;1
Shahla;32;30;1
Shahnaz;15;14;1
Shahrzad;5;0;0
Shaida;6;5;0
Shaima;13;12;1
Shaimaa;9;8;0
Shaker;8;8;0
Shakiba;5;5;0
Shakila;13;13;1
Shakir;6;5;0
Shakira;17;16;1
Shalini;11;11;1
Shalom;7;6;0
Sham;13;8;1
Shamima;5;0;0
Shamis;8;8;0
Shams;19;16;1
Shamsa;14;12;1
Shamso;33;29;1
Shan;22;20;1
Shana;9;8;0
Shane;5;0;0
Shani;24;25;1
Shania;24;25;1
Shanice;6;5;0
Shanna;10;9;1
Shannon;32;32;1
Shanti;33;29;1
Shara;8;8;0
Sharaf;5;5;0
Sharareh;6;6;0
Shareef;6;5;0
Shari;12;12;1
Sharif;34;31;1
Sharifa;12;10;1
Sharlotta;6;6;0
Sharmarke;7;5;0
Sharmila;11;10;1
Sharmin;21;20;1
Sharon;125;121;2
Sharona;13;13;1
Shatha;9;7;0
Shathy;6;6;0
Shaymaa;10;6;1
Sheekh;6;6;0
Sheela;5;5;0
Sheena;10;9;1
Sheida;11;10;1
Sheik;5;5;0
Sheikh;24;23;1
Sheila;65;62;1
Sheima;14;14;1
Shekinah;7;6;0
Shelan;7;5;0
Shelley;5;6;0
Shemsije;5;5;0
Sheng;6;6;0
Sheno;5;0;0
Shereen;9;9;0
Sheri;7;7;0
Sherif;16;13;1
Sherin;6;5;0
Sheryl;8;7;0
Shi;5;5;0
Shifa;5;0;0
Shila;9;8;0
Shilan;18;16;1
Shiloh;8;7;0
Shima;15;13;1
Shira;18;18;1
Shire;18;17;1
Shireen;5;5;0
Shirel;12;11;1
Shiri;15;13;1
Shirin;60;58;1
Shirley;40;40;1
Shirwa;6;6;0
Shiva;13;12;1
Shivani;7;7;0
Shkurta;7;6;0
Shkurte;11;11;1
Shler;6;6;0
Shno;6;0;0
Shohreh;5;5;0
Shpresa;15;12;1
Shqipe;19;18;1
Shreya;9;8;0
Shrijana;5;0;0
Shruti;5;5;0
Shu;16;15;1
Shugri;12;11;1
Shukri;70;60;1
Shukria;6;5;0
Shukrije;15;14;1
Shwan;7;6;0
Shweta;10;9;1
Shyhrete;6;6;0
Si;10;12;1
Sia;16;12;1
Siad;6;6;0
Sian;5;5;0
Siana;6;5;0
Sibel;50;50;1
Sibelle;6;5;0
Sibilla;5;5;0
Sibora;5;5;0
Sibylla;15;16;1
Sibylle;5;5;0
Sickan;38;39;1
Siddig;8;6;0
Sidney;5;0;0
Sidonia;27;26;1
Sidra;42;24;1
Siena;35;27;1
Sienna;422;338;2
Sierra;20;18;1
Sievi;14;16;1
Sievä;50;54;1
Sif;5;5;0
Sifa;10;9;1
Sigbrit;7;7;0
Sigbritt;44;48;1
Sig-Britt;15;15;1
Signe;972;945;2
Signhild;58;63;1
Signild;11;14;1
Sigrid;709;653;2
Sigrun;17;16;1
Sigyn;5;6;0
Sihaam;30;26;1
Siham;52;49;1
Sihem;9;8;0
Siia;9;9;0
Siida;10;8;1
Siikri;7;7;0
Siime;7;8;0
Siimi;6;6;0
Siina;631;606;2
Siina-Maria;7;7;0
Siira;7;7;0
Siiri;9616;9518;3
Siiri-Inkeri;5;5;0
Siiri-Maija;9;9;0
Siiri-Maria;27;27;1
Siirisofia;8;8;0
Siiri-Sofia;65;64;1
Siisa;5;5;0
Sikke;20;19;1
Sikri;9;8;0
Sikuriina;78;74;1
Sila;22;18;1
Silene;6;6;0
Silia;6;5;0
Silinda;5;5;0
Silja;6310;6274;3
Silja-Emilia;5;5;0
Silja-Leena;6;6;0
Silja-Liisa;5;6;0
Silja-Maaria;9;10;0
Silja-Maija;5;5;0
Silja-Maria;29;29;1
Silja-Riitta;14;14;1
Silja-Sofia;16;16;1
Silje;34;31;1
Silke;26;26;1
Silla;76;74;1
Silla-Sofia;5;5;0
Silmu;72;67;1
Silpa;56;58;1
Silva;604;570;2
Silvana;34;32;1
Silve;29;29;1
Silvi;26;23;1
Silvia;1109;1011;3
Silviya;5;0;0
Sima;36;32;1
Siman;6;0;0
Simi;5;0;0
Simin;16;16;1
Simon;11;8;1
Simona;89;83;1
Simone;286;275;2
Simonetta;6;6;0
Simonsdotter;5;5;0
Simontytär;21;21;1
Simra;6;5;0
Simran;10;11;1
Sin;10;10;1
Sina;211;208;2
Sinaida;37;39;1
Sinan;5;0;0
Sindi;31;29;1
Sindy;18;18;1
Sine;14;13;1
Sinea;17;16;1
Sinead;5;0;0
Sinella;45;44;1
Sinem;16;15;1
Sinerva;6;7;0
Sinervo;13;15;1
Sinetta;6;6;0
Singa;7;7;0
Singe;5;5;0
Singh;8;8;0
Sini;9287;9258;3
Sinia;5;5;0
Sinianna;9;8;0
Sini-Anna;5;5;0
Sini-Annika;6;6;0
Sini-Elina;8;8;0
Sini-Emilia;7;7;0
Sini-Helena;5;5;0
Sini-Helmi;9;9;0
Sini-Iiris;5;5;0
Sini-Inkeri;5;5;0
Sini-Jasmin;0;5;0
Sini-Johanna;12;13;1
Sini-Kaarina;5;5;0
Sinikka;41203;42765;4
Sinikka-Liisa;5;5;0
Sini-Kristiina;7;7;0
Sinikukka;16;15;1
Sini-Kukka;6;6;0
Sinililja;8;7;0
Sini-Lilja;7;7;0
Sini-Linnea;8;8;0
Sini-Maaret;12;12;1
Sinimaaria;7;7;0
Sini-Maaria;69;69;1
Sini-Maarit;39;39;1
Sini-Mari;10;10;1
Sinimaria;12;12;1
Sini-Maria;93;93;1
Sini-Marika;12;12;1
Sinimarja;19;18;1
Sini-Marja;38;38;1
Sini-Marjaana;7;7;0
Sini-Marjut;5;6;0
Sini-Meri;12;12;1
Sini-Minttu;5;5;0
Sini-Orvokki;17;18;1
Sini-Pauliina;8;8;0
Sinipilvi;11;11;1
Sini-Pilvi;30;31;1
Sini-Päivi;10;10;1
Sini-Päivikki;15;15;1
Sini-Sisko;8;8;0
Sini-Sofia;33;32;1
Sini-Susanna;21;21;1
Sini-Säde;8;8;0
Sinita;5;5;0
Sinitta;15;15;1
Sinituuli;23;22;1
Sini-Tuuli;42;42;1
Sinituulia;11;10;1
Sini-Tuulia;92;94;1
Sinivuokko;18;18;1
Sini-Vuokko;30;31;1
Sinja;115;112;2
Sinna;632;593;2
Sinna-Sofia;8;8;0
Sinni;8;8;0
Siobhan;9;8;0
Siobhán;6;6;0
Sipi;6;8;0
Sippola;5;5;0
Sippora;5;5;0
Sipriina;79;78;1
Siprina;5;5;0
Sira;125;117;2
Sirad;5;5;0
Sire;6;5;0
Sirena;77;76;1
Sirene;11;11;1
Sirenetta;5;5;0
Siret;10;9;1
Sirge;5;0;0
Siri;701;684;2
Siria;14;12;1
Sirian;0;5;0
Sirianna;6;6;0
Sirigli;6;6;0
Sirikiitta;5;5;0
Sirikli;13;13;1
Sirilla;9;9;0
Sirin;27;27;1
Sirina;18;17;1
Sirine;6;6;0
Siriporn;7;7;0
Sirirat;5;0;0
Sirissa;7;7;0
Sirita;7;7;0
Sirius;60;42;1
Siriwan;7;6;0
Sirja;534;533;2
Sirja-Liisa;6;6;0
Sirja-Riitta;5;5;0
Sirje;118;117;2
Sirjo;5;5;0
Sirke;260;265;2
Sirkitta;5;5;0
Sirkka;16728;18050;4
Sirkka-Helena;5;5;0
Sirkka-Helinä;5;5;0
Sirkka-Leena;75;77;1
Sirkkaliisa;32;32;1
Sirkka-Liisa;3879;4083;3
Sirkka-Lisa;0;6;0
Sirkka-Maija;24;27;1
Sirkka-Maria;5;5;0
Sirkka-Marja;7;7;0
Sirkka-Riitta;6;6;0
Sirkka-Sisko;5;5;0
Sirkku;3471;3530;3
Sirkku-Leena;16;16;1
Sirkkuli;5;5;0
Sirkku-Liisa;49;50;1
Sirkku-Maija;5;5;0
Sirkku-Marja;7;7;0
Sirkku-Sisko;7;7;0
Sirle;7;7;0
